Frames	25K-me+precincts		precincts		me		25K-trunc
0	30,905191		26,061532		20,570919		26,43756
1	29,15713		25,994355		20,56721		26,335222
2	27,704294		26,04153		20,516999		26,433962
3	26,795609		26,031705		20,50403		26,363291
4	26,198973		25,939178		20,447087		26,327189
5	25,968185		25,987165		20,471473		26,35444
6	25,87964		25,863522		20,472645		26,244505
7	25,904611		25,952331		20,442034		26,311652
8	25,881649		25,874475		20,402837		26,250219
9	25,939561		25,930926		20,393919		26,303701
10	25,914053		25,95265		20,339893		26,329865
11	25,946625		25,854428		20,340197		26,236555
12	25,907911		25,921967		20,355244		26,312077
13	25,938266		25,863769		20,351896		26,263794
14	25,903744		25,930414		20,335789		26,324083
15	25,866789		25,903657		20,30681		26,2483
16	25,757604		25,865272		20,276998		26,256702
17	25,683224		25,916701		20,293121		26,274287
18	25,574354		25,828477		20,249232		26,18236
19	25,529476		25,892054		20,259343		26,251718
20	25,435467		25,830301		20,206592		26,159908
21	25,377489		25,828165		20,189519		26,176808
22	25,328746		25,837169		20,193868		26,141042
23	25,340517		25,81941		20,144755		26,110983
24	25,289735		25,957319		20,16072		26,323281
25	25,27168		25,912771		20,108888		26,220399
26	25,202512		25,908368		20,108152		26,18783
27	25,21205		25,913775		20,099809		26,248123
28	25,160862		25,741678		20,066805		26,004733
29	25,189108		25,883341		20,082075		26,178904
30	25,17811		25,772988		20,024123		26,116387
31	25,20872		25,831558		20,051493		26,109807
32	25,197605		25,874188		20,004237		26,175267
33	25,18562		25,728114		19,992244		26,025363
34	25,143814		25,7893		20,020552		26,043041
35	25,180934		25,720761		19,968126		25,994447
36	25,181617		25,789352		20,013868		26,032138
37	25,194078		25,726566		19,963399		26,080937
38	25,201022		25,755441		19,960652		26,01555
39	25,206454		25,797721		19,951913		26,047665
40	25,122652		25,655662		19,896306		25,903986
41	25,117695		25,705277		19,962565		25,936731
42	25,121019		25,731479		19,91051		25,997998
43	25,206036		25,783649		19,894034		25,972864
44	25,157271		25,807065		19,867758		26,076279
45	25,132209		25,73403		19,828746		25,975732
46	25,09265		25,73755		19,842466		25,934204
47	25,104173		25,763442		19,788959		26,039816
48	25,077539		25,72585		19,792972		25,965023
49	25,122812		25,825947		19,785611		26,063556
50	25,108511		25,758693		19,75001		26,038433
